#	year	left	match	right	title	topic
287	1994	From the holders of the trust that could n't go down , between 10 percent and 20 percent poorer since they took that	low-risk	ride .	Wall Street; A Trust Offering's Half-Told Story	STOCKS AND BONDS
288	1994	A	low-risk	variation of arbitrage can be played by individual investors who become shareholders in companies that sell their stock to the public at a discount .	Business Digest	CIVIL WAR AND GUERRILLA WARFARE
289	1994	Choosing the Shows Safe Product Or Artistic Risk Indeed , for all the tribulations of the theater , the Shubert Organization is considered by knowledgeable theater people to be a	low-risk	enterprise .	I.R.S. Ruling Wrote Script For the Shubert Tax Break	THEATER, SURVEYS AND SERIES, COMPANY AND ORGANIZATION PROFILES, TAXATION, FEDERAL TAXES (US)
290	1994	`` But in a flat market , to have more than 10 percent gain in a	low-risk	stock looks pretty attractive to me . ''	Market Place; Sherwin-Williams smoothly improves its performance.	INVESTMENT STRATEGIES
291	1994	That way health plans would be forced to attract applicants by offering high-quality care and attractive prices -- rather than picking off	low-risk	applicants with catastrophic policies and leaving the high-cost patients for some other plan to cover .	Don't Be Seduced by Medisave	MEDICINE AND HEALTH, EDITORIALS, HEALTH INSURANCE, SAVINGS ACCOUNTS, LAW AND LEGISLATION
292	1994	And it would begin to standardize the package of benefits every American must buy -- a key to stopping insurers from picking off	low-risk	customers by artfully tailoring benefits .	Keep Health Care Moving	MEDICINE AND HEALTH, EDITORIALS, HEALTH INSURANCE, REFORM AND REORGANIZATION, ELECTION ISSUES
293	1994	Representatives for the Vanguard Group and Fidelity Investments , the nation 's two largest direct-mail mutual fund companies , said that their funds invested only in	low-risk	derivatives , and sparingly .	Investors Lose Money In 'Safe' Fund	STOCKS AND BONDS, MONEY MARKET FUNDS, INVESTMENT STRATEGIES, DERIVATIVES (FINANCIAL TRANSACTIONS)
294	1994	`` I thought that tens of thousands , hundreds of thousands of people would say this is a	low-risk	way to defy the Government , stop the killing and make our point , '' he says .	Kill for Life?	ABORTION, BIOGRAPHICAL INFORMATION, DEMONSTRATIONS AND RIOTS
295	1994	These loans , however , usually require unblemished credit , verifiable income ,	low-risk	properties and a firm `` 28-36 , '' meaning that the borrower must have housing debt of less than 28 percent of monthly income before taxes and total debt of no more than 36 percent .	Getting Through the Maze Of Mortgage Insurance	HOUSING, MORTGAGES, INSURANCE
296	1994	In yet another example of how rising interest rates can devastate seemingly	low-risk	activities , the Mellon Bank Corporation said yesterday that it would take a $ 130 million after-tax loss to bail out customers of its securities lending division for investments gone awry .	Mellon Takes $130 Million Loss on Investments	STOCKS AND BONDS, INVESTMENT STRATEGIES
297	1994	And more and more , the prey are people like Prabia Dahr , a native of Bangladesh -- immigrants whom young criminals see as	low-risk	targets .	Young Criminals' Prey: Usually Young	CRIME AND CRIMINALS, BLACKS (IN US), CHILDREN AND YOUTH, SURVEYS AND SERIES, ASSAULTS, SEX CRIMES, ROBBERIES AND THEFTS
298	1994	But officials said they would delay only	low-risk	programs and would realize savings at high-priority projects by being more efficient , not by delaying them .	President's Suggested Reductions Face Many Obstacles	FINANCES, BUDGETS AND BUDGETING, ENERGY AND POWER, TRANSPORTATION, HOUSING, TAXATION, INCOME TAX
299	1995	Charges can range from $ 1.50 each for bank employees in low-crime ,	low-risk	areas to $ 150 for police officers and firefighters , Vicki Merrill , head of Pacificare 's workers ' compensation unit , said .	Curbing the Costs of Job Injuries	MEDICINE AND HEALTH, HEALTH INSURANCE, HEALTH MAINTENANCE ORGANIZATIONS
300	1995	Traditionally , corporate credit unions have invested in Treasury and other	low-risk	, highly liquid securities .	Umbrella Credit Union Seized by Regulators	COLLATERALIZED MORTGAGE OBLIGATIONS (CMOS), DERIVATIVES (FINANCIAL TRANSACTIONS)
301	1995	Some consumer advocates have charged that the fees are exorbitant for what amounts to a very short-term , very	low-risk	loan for a bank .	Two Big Banks Cancel Loans Against Refunds	CREDIT, TAXATION, INCOME TAX, BANKS AND BANKING, FRAUDS AND SWINDLING, BUREAUCRATIC RED TAPE, DATA PROCESSING (COMPUTERS)
302	1995	Korbean , which never traded through exchanges in the United States , promised investors	low-risk	or no-risk currency futures contracts , ultimately bringing in $ 7 million , largely from investors in the New York City area , said Dennis Klejna , director of enforcement at the commission .	Investment Firm's Officials Charged	CURRENCY, FUTURES TRADING, FRAUDS AND SWINDLING, ATTORNEYS GENERAL, ASSETS, FROZEN
303	1995	Mr. Lockridge , the lawyer , agreed that the claim of the shareholders of the Institutional Government Income fund was stronger than those of other Piper clients , because that fund was marketed as an especially	low-risk	investment , and it moreover violated its investment restrictions .	Piper Jaffray to Settle Suits for $70 Million	CLASS-ACTION SUITS, DERIVATIVES (FINANCIAL TRANSACTIONS)
304	1995	Also last year , investors in severalsupposedly	low-risk	mutual funds run by Piper Jaffray suffered 28 percent losses from mortgage bond investment strategies gone awry .	For Rogue Traders, Yet Another Victim	BANKRUPTCIES, DERIVATIVES (FINANCIAL TRANSACTIONS), BROKERS AND BROKERAGE FIRMS, STOCKS AND BONDS
305	1995	Mr. Leeson 's trading job was ostensibly a	low-risk	form of arbitrage , trading that takes advantage of tiny price differentials between different markets .	Breaking the Bank -- A special report.; Big Gambles, Lost Bets Sank a Venerable Firm	FRAUDS AND SWINDLING, BANKRUPTCIES, COMPANY AND ORGANIZATION PROFILES, BIOGRAPHICAL INFORMATION, STOCKS AND BONDS, FUTURES TRADING, DERIVATIVES (FINANCIAL TRANSACTIONS), ARBITRAGE
306	1995	Because his trading was deemed so	low-risk	, he was allowed a freedom that was particularly unusual : he could both execute and settle his own trades , meaning he was in charge of the paperwork to account for the buying and selling he was doing .	Breaking the Bank -- A special report.; Big Gambles, Lost Bets Sank a Venerable Firm	FRAUDS AND SWINDLING, BANKRUPTCIES, COMPANY AND ORGANIZATION PROFILES, BIOGRAPHICAL INFORMATION, STOCKS AND BONDS, FUTURES TRADING, DERIVATIVES (FINANCIAL TRANSACTIONS), ARBITRAGE
307	1995	It remains unclear whether top executives of Barings understood the nature of the bets made by Mr. Leeson , or whether he misled them into believing his investment position was an extension of the	low-risk	strategy he had ostensibly been pursuing .	Barings Knew Of Big Gamble, Officials Assert	STOCKS AND BONDS, FUTURES TRADING, BANKRUPTCIES
308	1995	Dr. Merkatz acknowledged the historic problems and said the midwifery program was set up at a time when the hospital saw mostly healthy ,	low-risk	women .	Lack of Oversight Takes Delivery-Room Toll	MEDICINE AND HEALTH, SURVEYS AND SERIES, PREGNANCY AND OBSTETRICS, MIDWIVES, REFORM AND REORGANIZATION, HOSPITALS
309	1995	Companies , for example , might hire workers off the books , with no compensation insurance , or misclassify them in	low-risk	occupations that are less expensive to insure , he said .	Crackdown on Job-Injury Costs	WORKERS' COMPENSATION INSURANCE, STATES (US), LAW AND LEGISLATION, REFORM AND REORGANIZATION, LABOR
310	1995	In a continuing study of 170 children from middle - and upper-middle-class families in Boston , Dr. David Bellinger and his colleagues found significant signs of lasting brain damage in children from	low-risk	environments .	Despite Reductions in Exposure, Lead Remains Danger to Children	LEAD, CHILDREN AND YOUTH, INTELLIGENCE
311	1995	Then again , Alexander has long shown a penchant for mixing politics and personal profit , benefiting even as Governor from lucrative ,	low-risk	investments with the help of Baker and other friends .	THE FIRST PRIMARY	PRESIDENTIAL ELECTION OF 1996, FINANCES
312	1995	Although HBO produces its own `` event '' movies , like `` Barbarians at the Gate '' and the coming `` Indictment , '' it pursues these spurned Hollywood movies as a	low-risk	way to help both the film and HBO itself .	Those Hybrid Made-for-TV Movies	TELEVISION, TELEVISION, CABLE TELEVISION
313	1995	In the end , however , even these	low-risk	missions can only be justified as part of a coherent , consistent strategy .	Rescue in Bosnia	UNITED STATES ARMAMENT AND DEFENSE, EDITORIALS, UNITED STATES INTERNATIONAL RELATIONS
314	1995	But the expansion appears to have come in relatively	low-risk	derivatives , and not in high-risk , exotic bets on the direction of the bond market or other markets , said Ricki Helfer , chairwoman of the agency .	U.S. Banks' Holdings of Derivatives Rose in First Quarter	BANKS AND BANKING, DERIVATIVES (FINANCIAL TRANSACTIONS)
315	1995	Bank Derivative Holdings Up American banks ' holdings of derivatives soared to $ 18 trillion , from $ 15.8 billion , in the first quarter , but the surge appeared to have come in relatively	low-risk	investments .	BUSINESS DIGEST	NO INDEX TERMS
316	1995	The average premium increase for	low-risk	drivers will be $ 100 above previously anticipated increases for inflation , according to the Insurance Department estimates .	Rise in Auto Insurance Minimums Is Voted	AUTOMOBILE INSURANCE AND LIABILITY, PRICES (FARES, FEES AND RATES), LAW AND LEGISLATION
317	1995	Mr. Leeson , they said , was supposed to be engaging only in very	low-risk	trading .	Report to Detail Errant Ways of Barings	STOCKS AND BONDS, BANKRUPTCIES, DERIVATIVES (FINANCIAL TRANSACTIONS), FUTURES AND OPTIONS TRADING, FRAUDS AND SWINDLING
318	1995	Information on	low-risk	offenders will be available only to the police .	Pataki Signs Sex-Crime Bill Modeled on 'Megan's Law	SEX CRIMES, LAW AND LEGISLATION, DISCLOSURE OF INFORMATION, PRIVACY, RIGHT OF, PROBATION AND PAROLE
319	1995	With the move , Disney not only gets a home to produce musical spectacles , but it also gets a	low-risk	way of testing the urban entertainment market -- an area where the company is cautiously exploring opportunities .	Disney's Deal: A special report.; A Mix of Glamour and Hardball Won Disney a Piece of 42d Street	SURVEYS AND SERIES, NEW AMSTERDAM THEATER (NYC), AREA PLANNING AND RENEWAL, THEATERS (BUILDINGS), RESTORATION AND REHABILITATION
320	1995	`` Convertibles give you a fairly	low-risk	way , certainly a lower-volatility way , to invest in the small-cap marketplace , '' said Hugh Mullin , who co-manages the new Putnam Convertible Opportunities and Income Trust , a closed-end mutual fund that made its debut last month .	Here's a Cushion for a Bumpy Ride	STOCKS AND BONDS
321	1995	These results have been possible because the company bypasses agents , selling directly to the consumer , concentrating on	low-risk	drivers .	Buffett Moves To Acquire All of Geico	MERGERS, ACQUISITIONS AND DIVESTITURES
322	1995	Even in a ``	low-risk	'' mother , unforeseeable and nonpreventable accidents may occur so swiftly that despite continuous maternal and fetal monitoring , the life or future well-being of the baby is compromised .	Safer Than Ever	PREGNANCY AND OBSTETRICS, CAESAREAN SECTION
323	1995	And its users will be what the department classifies as its ``	low-risk	population , '' generally nonviolent offenders , who constitute about a third of the 90,000 adult probationers the department handles each year .	Seeking A.T.M.-Style Probation System	PRISONS AND PRISONERS, PROBATION AND PAROLE
324	1995	Skimming , in insurance parlance , means taking only	low-risk	business .	Islander, Insurer and Business Maverick	INSURANCE, BIOGRAPHICAL INFORMATION
325	1995	-LRB- As for	low-risk	offenders , only relevant law enforcement organizations can be notified of their presence . -RRB-	Megan's Law' Reactivated, With Offenders' Protections	SEX CRIMES, PROBATION AND PAROLE, PRIVACY, RIGHT OF, DISCLOSURE OF INFORMATION
326	1995	`` I see nothing wrong with trying active management for a share of one 's assets , particularly with a	low-risk	investment manager .	How to Judge? Flip a Coin	STOCKS AND BONDS, MUTUAL FUNDS
327	1995	Re your news article -LRB- Sept. 10 -RRB- on New York City 's plan to have	low-risk	probationers report to electronic kiosks : The kiosks are only one facet of a re-engineering effort at the city 's Department of Probation .	Probation Changes Go Beyond New Kiosks	CRIME AND CRIMINALS, PROBATION AND PAROLE
328	1995		Low-risk	probationers will report to 19 kiosks throughout the five boroughs , where their identity will be verified through hand geometry .	Probation Changes Go Beyond New Kiosks	CRIME AND CRIMINALS, PROBATION AND PAROLE
329	1995	Electronic fetal monitoring has been controversial for years , with some women 's health groups charging that it was accepted as standard practice before its effectiveness was proven and that it was an unnecessary interference in childbirth , particularly in	low-risk	pregnancies .	Routine Electronic Monitoring Of Fetuses Is Challenged in Study	PREGNANCY AND OBSTETRICS
330	1995	Electronic fetal monitoring has been controversial for years , with some women 's health groups charging that it was accepted as standard practice before its effectiveness was proven and that it was an unnecessary interference in childbirth , particularly in	low-risk	pregnancies .	Routine Electronic Monitoring Of Fetuses Is Challenged in Study	PREGNANCY AND OBSTETRICS
331	1995	A computerized manifest would let the Food and Drug Administration clear	low-risk	shipments quickly and cut costly paperwork , but raise red flags for high-risk items or unusual imports .	Computer Flaw Delays System To Screen for Tainted Imports	_
332	1995	The report said the survey of certified nurse-midwives indicated that their low Caesarean section rate was not mainly due to the risk profile of those they served , since they cared for moderate - and high-risk women as well as	low-risk	women .	Midwives Do Fewer Caesareans	PREGNANCY AND OBSTETRICS, CAESAREAN SECTION, MIDWIVES, DOCTORS
333	1995	Most	low-risk	areas are sparsely populated desert , arctic and subarctic regions .	Half of World's Coastlines Are Found to Be in Peril	COASTAL AREAS, WATER POLLUTION
334	1995	In North and Central America , 17 percent of the coast faces a high threat and 12 percent a medium threat , but a large portion of the	low-risk	areas are in arctic regions .	Half of World's Coastlines Are Found to Be in Peril	COASTAL AREAS, WATER POLLUTION
335	1995	MUTUAL FUNDS/Page 5 / Yes , there is a	low-risk	way to keep up with the stock market .	INSIDE	NO INDEX TERMS
336	1995	An article last Sunday about	low-risk	mutual funds referred incorreclty to the management of Scudder , Stevens & Clark Inc. , the company that manages the Scudder Growth and Income Fund .	Corrections	STOCKS AND BONDS, CORRECTION STORIES, MUTUAL FUNDS
337	1995	Under HACCP -LRB- pronounced HASS-ip -RRB- , the F.D.A. will try to inspect companies that deal in high-risk seafood once a year and	low-risk	about every three years .	Eating Well	FOOD CONTAMINATION AND POISONING, FISH AND OTHER MARINE LIFE, SHELLFISH, REGULATION AND DEREGULATION OF INDUSTRY, FISHING, COMMERCIAL, CONSUMER PROTECTION
338	1995		Low-risk	seafood includes most ocean-going fin fish and farmed fish .	Eating Well	FOOD CONTAMINATION AND POISONING, FISH AND OTHER MARINE LIFE, SHELLFISH, REGULATION AND DEREGULATION OF INDUSTRY, FISHING, COMMERCIAL, CONSUMER PROTECTION
339	1995	The county 's probation department has had to shut down a program that allowed 110	low-risk	prisoners to maintain jobs while living in halfway houses .	Orange County Bankruptcy: The Poor Feel the Most Pain	BANKRUPTCIES, FINANCES, GOVERNMENT BONDS, SOCIAL CONDITIONS AND TRENDS
340	1995	California Insurance Department officials expect the mini-policies to cost about the same as old policies , where premiums currently range from about $ 1.50 per $ 1,000 of coverage in a	low-risk	areas , to $ 4 per $ 1,000 in high - risk areas .	A New Safety Net Is Created For Homeowners in Quakes	EARTHQUAKES, INSURANCE, GOVERNMENT BONDS
341	1995	California Insurance Department officials expect the mini-policies to cost about the same as old policies , where premiums currently range from about $ 1.50 per $ 1,000 of coverage in a	low-risk	areas , to $ 4 per $ 1,000 in high - risk areas .	A New Safety Net Is Created For Homeowners in Quakes	EARTHQUAKES, INSURANCE, GOVERNMENT BONDS
342	1995	Under the law , the names and addresses of those deemed	low-risk	are given to the local police .	Taking a Tougher Stand on Crime	CRIME AND CRIMINALS, LAW AND LEGISLATION, NINETEEN HUNDRED NINETY-FIVE
343	1996	Its volunteers , law school students , work with prison systems to obtain the release of	low-risk	inmates .	Inside Prison, Too, a Population Is Aging	PRISONS AND PRISONERS, AGED, PROBATION AND PAROLE
344	1996	Its volunteers , law school students , work with prison systems to obtain the release of	low-risk	inmates .	Inside Prison, Too, a Population Is Aging	PRISONS AND PRISONERS, AGED, PROBATION AND PAROLE
345	1996	T. Rowe Price New Era , another option , is one of the most broadly diversified ,	low-risk	funds in the category , the analysts concluded .	Popularity Isn't Everything	STOCKS AND BONDS, MUTUAL FUNDS
346	1996	WNET still produces more hours of programming for the PBS system than any other station , but it has also gained an image as a glossy purveyor of	low-risk	, high-entertainment programs .	Metro Digest	NO INDEX TERMS
347	1996	REGION Channel 13 's image as glossy purveyor of	low-risk	, high-entertainment programs is not entirely fair .	Metro Digest	NO INDEX TERMS
348	1996	But the businesses are typically presented by scam artists as	low-risk	, high-return investments ideally suited to investors who are inexperienced or who hold I.R.A. or Keogh accounts .	Investors in '900' Lines Feeling Disconnected	TELEPHONES AND TELECOMMUNICATIONS, PAGING SYSTEMS
349	1996	I play a	low-risk	game . ''	Lemaire Wants Housley To Energize Power Play	HOCKEY, ICE
350	1996	`` Early treatment of high cholesterol in	low-risk	groups may not improve outcomes , '' he said .	Doctors' Group Recommends Reducing Cholesterol Checks	HEART, BLOOD, CHOLESTEROL, TESTS AND TESTING, AGE, CHRONOLOGICAL, STANDARDS AND STANDARDIZATION, CHILDREN AND YOUTH, WOMEN, MEN
351	1996	Information on	low-risk	offenders was available only to the police .	Sex-Felon Rights And Notification Face Legal Snag	SEX CRIMES, LAW AND LEGISLATION, CHILDREN AND YOUTH
352	1996	SOAPBOX 17 The battles of a ``	low-risk	'' AIDS patient .	INSIDE	NO INDEX TERMS
353	1996	Paine Webber Inc. has agreed to pay the state $ 149,842 to settle claims that its brokers falsely marketed limited partnerships as	low-risk	investments from 1986 through 1992 , Mark S. Herr , the State Director of Consumer Affairs , said yesterday .	New Jersey Daily Briefing;Brokerage Settles Claims	STOCKS AND BONDS, FINES (PENALTIES), BROKERS AND BROKERAGE FIRMS
354	1996	The inmates , Randy L. Carter , 31 , and Michael Ray McRoberts , 26 , were being held on probation violations and had qualified as	low-risk	, nonviolent detainees for the work program .	Oops! 2 Inmates Steal Jeep of Trusting Sheriff	CRIME AND CRIMINALS, PROBATION AND PAROLE, AUTOMOBILES, ROBBERIES ANDTHEFTS
355	1996	In a state known for being tough on criminals and restrictive in social welfare programs , Sheriff Ryan said his program was an attempt to build self-esteem and work skills among	low-risk	inmates and give them skills to re-enter society as responsible individuals rather than engage in more serious crimes .	Oops! 2 Inmates Steal Jeep of Trusting Sheriff	CRIME AND CRIMINALS, PROBATION AND PAROLE, AUTOMOBILES, ROBBERIES ANDTHEFTS
356	1996	The Panthers , confounding Pittsburgh with the same	low-risk	defensive scheme that confused their previous playoff victims , Boston and Philadelphia , can take a 2-0 lead tomorrow night in Game 2 .	RESULTS PLUS	HOCKEY, ICE
357	1996	Since it has so many	low-risk	mortgages on its books , Ahmanson can make high-risk consumer loans without setting aside much more capital as a reserve .	Time Is Changing The Model S. L.;Home Savings Pushes Ahead Into Full-Service Banking	BANKS AND BANKING, SAVINGS AND LOAN ASSOCIATIONS, NAMES, ORGANIZATIONAL
358	1996	Some of the companies , like DeVry , Apollo Group and ITT Educational Services , which run post-secondary degree-granting schools , have been considered relatively	low-risk	investments because of their steady growth in enrollment and graduation rates and a predictable revenue stream .	Investors Look To Education As Possibility For High Flier	EDUCATION AND SCHOOLS
359	1996	Last season , he decided to put all his money into	low-risk	, fixed-income investments , mostly municipal bonds from Florida , where he is building a home .	Risk? A Running Back Takes a Pass	PERSONAL FINANCES, FOOTBALL, GOVERNMENT BONDS, STOCKS AND BONDS
360	1996	But last week , questions about the agency 's strategy arose when a new lead poisoning hazard , in the form of vinyl mini-blinds , erased the boundaries between high-risk and	low-risk	neighborhoods .	Blinds: Get the Lead Out	LEAD, VENETIAN BLINDS, POISONING AND POISONS, CHILDREN AND YOUTH, TESTSAND TESTING, VINYL
361	1996	`` To many Congressmen and Senators right now , there 's a ceaseless antagonism toward Hollywood because politically , it is high-reward and	low-risk	, '' Mr. Valenti said after hearing Mr. Dole speak .	Public Endorses Uplifting Movies, Dole Tells Hollywood	MOTION PICTURES, ELECTION ISSUES, PRESIDENTIAL ELECTION OF 1996, SEX, VIOLENCE
362	1996	It is a	low-risk	investment on a former Utah Jazz player who was paid over $ 1 million last season and actually turned down an offer this morning for $ 4 million over three years from a team believed to be the Golden State Warriors .	Nets Pick Up a Bargain as Benoit Signs Up	Basketball
363	1996	As for chicken and fish versions of the Arch Deluxe that are expected in the fall , he added , '' each one only adds smaller incremental volume ; it 's a	low-risk	, but not a high-potential , strategy . ''	Another agency creates ads for McDonald's adult burger, raising eyebrows on Madison Avenue.	Advertising
364	1996	Neither Congress nor the Sentencing Commission has yet come forth with a convincing rationale why parenting should not be a legitimate consideration in the sentencing of	low-risk	offenders , '' Judge Wald wrote in her dissent . ''	Criminal and Welfare Rules Raise New Issues of Fairness	Welfare (US), Drug Abuse and Traffic, Sentences (Criminal), Women, Social Conditions and Trends, Children and Youth
365	1996	Following the initial investigation , responsibilities are divided up , with the community groups providing services to	low-risk	families and the central agency focusing on more serious cases .	Doing Better by Abused Children	Child Abuse, Editorials, Reform and Reorganization
366	1996	Perhaps most ominous , H.I.V. appears to be leaping out of the red-light districts , drug dens and truck parks into the homes of Indians in	low-risk	groups .	Denial and Taboo Blinding India To the Horror of Its AIDS Scourge	Acquired Immune Deficiency Syndrome (AIDS), Trucks and Trucking, Prostitution
367	1996	By contrast , $ 14 invested in July 1989 in a	low-risk	mutual fund mirroring the Standard & Poor 's 500 index would have grown to more than $ 35 today .	Managers Staying Dry As Corporations Sink	Pensions and Retirement Plans, Surveys and Series, Executives and Management, Taxation
368	1996	Mr. Ahrens , who was a trader with First Capital Strategists Inc. , an investment adviser in York , Pa. , was supposed to have been making hedged	low-risk	investments for the Common Fund , which manages about $ 19 billion for 1,400 colleges and universities .	Trader to Be Penalized for Fraud	Stocks and Bonds, Frauds and Swindling, Suits and Litigation, Decisions and Verdicts, Securities and Commodities Violations
369	1996	Since the Maternity Center Association , a nonprofit family health-care agency , opened the nation 's first freestanding birth center , on the Upper East Side , birth centers have gained acceptance in the medical community for the delivery of	low-risk	, uncomplicated pregnancies .	The New Birthday Party	Pregnancy and Obstetrics, Hospitals
370	1996	The study of 11,814 women admitted for labor and delivery at 84 freestanding birth centers in the United States found that their overall infant mortality rates -- 1.3 per 1,000 births -- were similar to those in	low-risk	hospital births . ''	The New Birthday Party	Pregnancy and Obstetrics, Hospitals
371	1996	On the readability scale , Mr. Mandel 's book is	low-risk	and low-gain , short on anecdote and long on generality and annoying repetition .	Just Speculating	Books and Literature, Reviews, United States Economy
372	1996	In that study , 15,151 women with	low-risk	pregnancies were randomly assigned to one of two groups .	Ultrasound and Fury: One Mother's Ordeal	Pregnancy and Obstetrics, Ultrasonics
373	1996	At the same time , Mr. Rosenberg was very conservative with the bank 's balance sheet , imposing strict controls on corporate loans and investing $ 35 billion in	low-risk	but low - return home mortgages .	BankAmerica to Cut Jobs And Shut Some Branches	Banks and Banking, Layoffs and Job Reductions
374	1997	We 're taking a	low-risk	approach to policy , '' said Tracy O'Rourke , chairman of Varian Associates , a health care and semiconductor equipment company in Palo Alto , Calif. '' I can increase my production significantly faster than I can sell units . ''	Those Vicious Business Cycles: Tamed but Not Quite Slain	United States Economy, Prices (Fares, Fees and Rates), Income
375	1997		Low-risk	offenders are not subject to community notification .	Carrying Out Megan's Law	Sex Crimes, Editorials
376	1997	A third program , Inspass , allows	low-risk	, foreign frequent travelers to speed through immigration inspections at high-volume airports and border crossings .	Immigration's Automation Plan Criticized	Immigration and Refugees, Automation, Computers and Information Systems
377	1997	They are designed for	low-risk	travelers who make at least three business trips a year , diplomats and others , including non-United States citizens who live in certain specified countries .	Zipping Through Customs Check	Airlines and Airplanes, Customs (Tariff), Travel and Vacations, Airports, Delays (Transportation)
378	1997	The Barr fund , which requires a $ 10,000 minimum investment , is a	low-risk	fund in the small-cap value category , they said .	FUNDS WATCH	Stocks and Bonds, Mutual Funds
379	1997	Women with	low-risk	pregnancies who choose midwives to deliver their babies have healthy births with fewer medical interventions than those who go either to obstetricians or family-practice doctors , according to a new study of obstetric care . ''	Midwives Deliver Healthy Babies With Fewer Interventions	Pregnancy and Obstetrics, Midwives, Doctors
380	1997	There are major differences in the way physicians and nurse-midwives approach	low-risk	patients , '' said Dr. Roger A. Rosenblatt , a University of Washington professor of family medicine and principal investigator on the study . ''	Midwives Deliver Healthy Babies With Fewer Interventions	Pregnancy and Obstetrics, Midwives, Doctors
381	1997	We physicians have something to learn from midwives about the approach to	low-risk	women . ''	Midwives Deliver Healthy Babies With Fewer Interventions	Pregnancy and Obstetrics, Midwives, Doctors
382	1997	The study is based on an analysis of the charts of 1,322 healthy	low-risk	patients from a random sample of all urban practitioners who deliver babies in hospitals in Washington State .	Midwives Deliver Healthy Babies With Fewer Interventions	Pregnancy and Obstetrics, Midwives, Doctors
383	1997	Nationally , the rate of Caesarean sections -- among	low-risk	and high-risk women combined -- more than doubled from 10.4 percent in 1975 to 22.7 percent in 1985 .	Midwives Deliver Healthy Babies With Fewer Interventions	Pregnancy and Obstetrics, Midwives, Doctors
384	1997	Meanwhile Labor was running a campaign using American promotional and organization techniques crafted to be disciplined , non-provocative and	low-risk	.	Blair or Major? Britain Is Choosing Today	Politics and Government, Elections
385	1997	There may be a bargain or two out there -- point guard Erick Strickland of the Mavericks is a	low-risk	proposition , and Rex Chapman of the Suns can still energize your offense for a pittance of what many scorers might cost -- but on the whole , it is Ewing , Jordan and a lot of nice role players who do not have a cologne named after them .	Ewing Set to Spin Wheel And Go for Big Money	Basketball, Wages and Salaries
386	1997	Government support for the arts in New York State is a	low-risk	, high-yield investment that in taxes recovers several times its cost and generates billions of dollars in related economic benefits , says a government-commissioned study to be released today .	Finding Government Profit in Aid to the Arts	Culture, Taxation
387	1997	And if an opponent got a lead , it would try to hold the edge with	low-risk	, time-consuming plays because it hardly feared a Giants comeback .	A Prize-Winning Book, If Defense Can Grasp It	Football
388	1997	The Attorney General 's office has identified 50 victims who thought they were being sold	low-risk	investments .	Unlicensed Brokers Face Fraud Charges	Stocks and Bonds, Frauds and Swindling, Securities and Commodities Violations
389	1997	The Redskins will still run the	low-risk	, run-oriented attack that features Terry Allen and produced almost 2,000 yards and 27 touchdowns .	N.F.C. Scouting Reports	Football
390	1997	Everyone wants	low-risk	OB cases , but no one 's competing for the drug-addicted H.I.V. patient , '' said Christine Burch , executive director of the National Association of Public Hospitals .	Hospitals Serving the Poor Struggle to Retain Patients	Medicine and Health, Forecasts, Medicaid, Acquired Immune Deficiency Syndrome, Drug Abuse and Traffic, Illegal Aliens, Hospitals, Health Insurance, Health Maintenance Organizations and Managed Care, Doctors
391	1997	A result was a joint study by McKinsey & Company that concluded that Government arts support is a	low-risk	, high-yield investment that recovers several times its cost in taxes and generates billions of dollars in economic benefits .	New York Arts Council Wins 15 Percent Increase	Culture, Finances, Budgets and Budgeting
392	1997	He was a	low-risk	philosopher who exhibited extreme caution in taking up daring positions on contemporary issues .	A Low-Risk Philosopher	_
393	1997	As Sir Isaiah Berlin 's biographer , I was astounded to read Paul Johnson 's description of him as a ''	low-risk	philosopher '' whose defense of the '' liberal West '' remained '' unspoken '' -LRB- Op-Ed , Nov. 12 -RRB- .	Isaiah Berlin, Enemy of Tyranny	Biographical Information
394	1997	And what Nolan may have done is give the rest of the National Football League the blueprint for stopping the Giants '	low-risk	, calculating offense .	Kanell Gets Education, Courtesy of the Redskins	Football
395	1997	This was an extraordinarily	low-risk	activity by any measure we have , '' said Dr. Thomas Gordon , associate director for scientific programs at the Yerkes center , which is an arm of Emory University 's medical school .	A Drop of Virus From a Monkey Kills a Researcher in 6 Weeks	Herpes Viruses, Monkeys and Apes
396	1997	It is considered a	low-risk	move given the safety and effectiveness of the vaccine , which has been used by the military since 1964 for certain personnel and by some civilians , like farmers , tanners and wool-handlers , with only mild , flu-like side effects .	The Nation; The Shots Heard 'Round the World	United States Armament and Defense, Biological and Chemical Warfare, Anthrax, Vaccination and Immunization, Terrorism
397	1997	A University of Washington study released earlier this year found that women with	low-risk	pregnancies who choose midwives to deliver their babies have healthy births with fewer medical interventions than those whose care is overseen by either obstetricians or family-practice doctors .	State Suspends a Midwife's License After a Failed Birth	Pregnancy and Obstetrics, Midwives, Malpractice, Suspensions, Dismissals and Resignations
398	1998	His co-investigator , Dr. Henry Blackburn , professor emeritus at the University of Minnesota , has written that the	low-risk	Cretan '' is a shepherd or small farmer , a beekeeper or fisherman , or a tender of olives or vines , '' adding : '' He walks to work daily .	Personal Health; Pass the Wine and Olive Oil, and Other Lessons From Crete	Food, Diet and Nutrition, Heart, Cancer
399	1998	She does feel that fetal monitors are not needed for the health of the mother and baby in	low-risk	situations , provided there is adequate nursing staff to check the fetal heart rate .	A Hospital's Effort to Decrease Caesareans	Pregnancy and Obstetrics, Caesarean Section
